dataset,model,tier,random,similarity,delta
LiveMcpBench,anthropic/claude-haiku-4.5,Tier 1,0.655,0.44,0.21500000000000002
LiveMcpBench,anthropic/claude-haiku-4.5,Tier 2,0.66,0.529,0.131
LiveMcpBench,openai/gpt-5-mini,Tier 1,0.83,0.628,0.20199999999999996
LiveMcpBench,openai/gpt-5-mini,Tier 2,0.734,0.535,0.19899999999999995
LiveMcpBench,qwen/qwen-2.5-coder-32b-instruct,Tier 1,0.873,0.645,0.22799999999999998
LiveMcpBench,qwen/qwen-2.5-coder-32b-instruct,Tier 2,0.653,0.483,0.17000000000000004
LiveMcpBench,qwen/qwen2.5-coder-7b-instruct,Tier 1,0.226,0.195,0.031
LiveMcpBench,qwen/qwen2.5-coder-7b-instruct,Tier 2,0.28,0.213,0.06700000000000003
LiveMcpBench,qwen/qwen3-235b-a22b-thinking-2507,Tier 1,0.925,0.7,0.2250000000000001
LiveMcpBench,qwen/qwen3-235b-a22b-thinking-2507,Tier 2,0.733,0.624,0.10899999999999999
LiveMcpBench,x-ai/grok-code-fast-1,Tier 1,0.921,0.687,0.23399999999999999
LiveMcpBench,x-ai/grok-code-fast-1,Tier 2,0.865,0.631,0.23399999999999999
stabletoolbench,qwen/qwen-2.5-coder-32b-instruct,Tier 1,0.754,0.754,0.0
stabletoolbench,qwen/qwen-2.5-coder-32b-instruct,Tier 2,0.536,0.544,-0.008000000000000007
stabletoolbench,qwen/qwen2.5-coder-7b-instruct,Tier 1,0.552,0.552,0.0
stabletoolbench,qwen/qwen2.5-coder-7b-instruct,Tier 2,0.538,0.541,-0.0030000000000000027
stabletoolbench,qwen/qwen3-235b-a22b-thinking-2507,Tier 1,0.938,0.944,-0.006000000000000005
stabletoolbench,qwen/qwen3-235b-a22b-thinking-2507,Tier 2,0.728,0.727,0.0010000000000000009
stabletoolbench,x-ai/grok-code-fast-1,Tier 1,0.958,1.0,-0.04200000000000004
stabletoolbench,x-ai/grok-code-fast-1,Tier 2,0.676,0.733,-0.05699999999999994
toollinkos,anthropic/claude-haiku-4.5,Tier 1,0.903,0.894,0.009000000000000008
toollinkos,anthropic/claude-haiku-4.5,Tier 2,0.586,0.59,-0.0040000000000000036
toollinkos,openai/gpt-5-mini,Tier 1,0.903,0.903,0.0
toollinkos,openai/gpt-5-mini,Tier 2,0.573,0.578,-0.0050000000000000044
toollinkos,qwen/qwen-2.5-coder-32b-instruct,Tier 1,0.873,0.895,-0.02200000000000002
toollinkos,qwen/qwen-2.5-coder-32b-instruct,Tier 2,0.643,0.65,-0.007000000000000006
toollinkos,qwen/qwen3-235b-a22b-thinking-2507,Tier 1,0.918,0.918,0.0
toollinkos,qwen/qwen3-235b-a22b-thinking-2507,Tier 2,0.622,0.63,-0.008000000000000007
toollinkos,x-ai/grok-code-fast-1,Tier 1,0.903,0.908,-0.0050000000000000044
toollinkos,x-ai/grok-code-fast-1,Tier 2,0.591,0.595,-0.0040000000000000036
ultratool,anthropic/claude-haiku-4.5,Tier 1,0.952,0.952,0.0
ultratool,anthropic/claude-haiku-4.5,Tier 2,0.884,0.876,0.008000000000000007
ultratool,openai/gpt-5-mini,Tier 1,0.948,0.949,-0.0010000000000000009
ultratool,openai/gpt-5-mini,Tier 2,0.833,0.85,-0.017000000000000015
ultratool,qwen/qwen-2.5-coder-32b-instruct,Tier 1,0.968,0.968,0.0
ultratool,qwen/qwen-2.5-coder-32b-instruct,Tier 2,0.87,0.874,-0.0040000000000000036
ultratool,qwen/qwen2.5-coder-7b-instruct,Tier 1,0.469,0.474,-0.0050000000000000044
ultratool,qwen/qwen2.5-coder-7b-instruct,Tier 2,0.564,0.604,-0.040000000000000036
ultratool,qwen/qwen3-235b-a22b-thinking-2507,Tier 1,0.97,0.972,-0.0020000000000000018
ultratool,qwen/qwen3-235b-a22b-thinking-2507,Tier 2,0.891,0.907,-0.016000000000000014
ultratool,x-ai/grok-code-fast-1,Tier 1,0.964,0.961,0.0030000000000000027
ultratool,x-ai/grok-code-fast-1,Tier 2,0.872,0.858,0.014000000000000012
