dataset,model,delta
LiveMcpBench,anthropic/claude-haiku-4.5,0.17300000000000001
LiveMcpBench,openai/gpt-5-mini,0.20049999999999996
LiveMcpBench,qwen/qwen-2.5-coder-32b-instruct,0.199
LiveMcpBench,qwen/qwen2.5-coder-7b-instruct,0.049000000000000016
LiveMcpBench,qwen/qwen3-235b-a22b-thinking-2507,0.16700000000000004
LiveMcpBench,x-ai/grok-code-fast-1,0.23399999999999999
stabletoolbench,qwen/qwen-2.5-coder-32b-instruct,-0.0040000000000000036
stabletoolbench,qwen/qwen2.5-coder-7b-instruct,-0.0015000000000000013
stabletoolbench,qwen/qwen3-235b-a22b-thinking-2507,-0.0025000000000000022
stabletoolbench,x-ai/grok-code-fast-1,-0.04949999999999999
toollinkos,anthropic/claude-haiku-4.5,0.0025000000000000022
toollinkos,openai/gpt-5-mini,-0.0025000000000000022
toollinkos,qwen/qwen-2.5-coder-32b-instruct,-0.014500000000000013
toollinkos,qwen/qwen3-235b-a22b-thinking-2507,-0.0040000000000000036
toollinkos,x-ai/grok-code-fast-1,-0.004500000000000004
ultratool,anthropic/claude-haiku-4.5,0.0040000000000000036
ultratool,openai/gpt-5-mini,-0.009000000000000008
ultratool,qwen/qwen-2.5-coder-32b-instruct,-0.0020000000000000018
ultratool,qwen/qwen2.5-coder-7b-instruct,-0.02250000000000002
ultratool,qwen/qwen3-235b-a22b-thinking-2507,-0.009000000000000008
ultratool,x-ai/grok-code-fast-1,0.008500000000000008
