model,tier,number_of_queries,avg_tools_in_tier,precision,recall,f1
openai/gpt-5-mini,Tier 1,52,1.673,0.962,0.923,0.936
openai/gpt-5-mini,Tier 2,39,3.692,0.974,0.756,0.829
openai/gpt-5-mini,Tier 3,4,6.25,1.0,0.732,0.817
x-ai/grok-code-fast-1,Tier 1,52,1.673,0.962,0.923,0.936
x-ai/grok-code-fast-1,Tier 2,39,3.692,1.0,0.819,0.887
x-ai/grok-code-fast-1,Tier 3,4,6.25,1.0,0.732,0.817
anthropic_claude-haiku-4.5,Tier 1,52,1.673,0.974,0.942,0.951
anthropic_claude-haiku-4.5,Tier 2,39,3.692,1.0,0.816,0.877
anthropic_claude-haiku-4.5,Tier 3,4,6.25,1.0,0.774,0.85
qwen_qwen-2.5-coder-32b-instruct,Tier 1,52,1.673,0.955,0.894,0.913
qwen_qwen-2.5-coder-32b-instruct,Tier 2,39,3.692,0.974,0.75,0.832
qwen_qwen-2.5-coder-32b-instruct,Tier 3,4,6.25,1.0,0.732,0.817
qwen_qwen2.5-coder-7b-instruct,Tier 1,52,1.673,0.808,0.779,0.788
qwen_qwen2.5-coder-7b-instruct,Tier 2,39,3.692,0.821,0.671,0.725
qwen_qwen2.5-coder-7b-instruct,Tier 3,4,6.25,0.5,0.393,0.432
qwen_qwen3-235b-a22b-thinking-2507,Tier 1,52,1.673,0.962,0.933,0.942
qwen_qwen3-235b-a22b-thinking-2507,Tier 2,39,3.692,1.0,0.806,0.875
qwen_qwen3-235b-a22b-thinking-2507,Tier 3,4,6.25,1.0,0.732,0.817
