task_id,perm_id,sample_id,position_index,relative_pos,tool_name,is_selected
0,0,0,0,0.0,List Movies_Genre,0
0,0,0,1,0.1,List Movies_Order By,0
0,0,0,2,0.2,List Movies_Query Term,0
0,0,0,3,0.3,List Movies_Page,0
0,0,0,4,0.4,List Movies_Minimum Rating,0
0,0,0,5,0.5,List Movies_Sort By,0
0,0,0,6,0.6,List Movies_With RT Ratings,0
0,0,0,7,0.7,List Movies_Limit,0
0,0,0,8,0.8,List Movies_Quality,0
0,0,0,9,0.9,List Movies_List Movies,0
0,0,1,0,0.0,List Movies_Genre,0
0,0,1,1,0.1,List Movies_Order By,1
0,0,1,2,0.2,List Movies_Query Term,0
0,0,1,3,0.3,List Movies_Page,0
0,0,1,4,0.4,List Movies_Minimum Rating,1
0,0,1,5,0.5,List Movies_Sort By,1
0,0,1,6,0.6,List Movies_With RT Ratings,0
0,0,1,7,0.7,List Movies_Limit,0
0,0,1,8,0.8,List Movies_Quality,1
0,0,1,9,0.9,List Movies_List Movies,1
0,0,2,0,0.0,List Movies_Genre,0
0,0,2,1,0.1,List Movies_Order By,0
0,0,2,2,0.2,List Movies_Query Term,0
0,0,2,3,0.3,List Movies_Page,0
0,0,2,4,0.4,List Movies_Minimum Rating,1
0,0,2,5,0.5,List Movies_Sort By,1
0,0,2,6,0.6,List Movies_With RT Ratings,0
0,0,2,7,0.7,List Movies_Limit,0
0,0,2,8,0.8,List Movies_Quality,1
0,0,2,9,0.9,List Movies_List Movies,1
0,0,3,0,0.0,List Movies_Genre,0
0,0,3,1,0.1,List Movies_Order By,1
0,0,3,2,0.2,List Movies_Query Term,1
0,0,3,3,0.3,List Movies_Page,0
0,0,3,4,0.4,List Movies_Minimum Rating,1
0,0,3,5,0.5,List Movies_Sort By,1
0,0,3,6,0.6,List Movies_With RT Ratings,0
0,0,3,7,0.7,List Movies_Limit,0
0,0,3,8,0.8,List Movies_Quality,1
0,0,3,9,0.9,List Movies_List Movies,1
0,0,4,0,0.0,List Movies_Genre,0
0,0,4,1,0.1,List Movies_Order By,1
0,0,4,2,0.2,List Movies_Query Term,0
0,0,4,3,0.3,List Movies_Page,0
0,0,4,4,0.4,List Movies_Minimum Rating,1
0,0,4,5,0.5,List Movies_Sort By,0
0,0,4,6,0.6,List Movies_With RT Ratings,1
0,0,4,7,0.7,List Movies_Limit,0
0,0,4,8,0.8,List Movies_Quality,0
0,0,4,9,0.9,List Movies_List Movies,1
0,0,5,0,0.0,List Movies_Genre,0
0,0,5,1,0.1,List Movies_Order By,0
0,0,5,2,0.2,List Movies_Query Term,0
0,0,5,3,0.3,List Movies_Page,0
0,0,5,4,0.4,List Movies_Minimum Rating,1
0,0,5,5,0.5,List Movies_Sort By,1
0,0,5,6,0.6,List Movies_With RT Ratings,0
0,0,5,7,0.7,List Movies_Limit,0
0,0,5,8,0.8,List Movies_Quality,0
0,0,5,9,0.9,List Movies_List Movies,1
0,0,6,0,0.0,List Movies_Genre,0
0,0,6,1,0.1,List Movies_Order By,1
0,0,6,2,0.2,List Movies_Query Term,1
0,0,6,3,0.3,List Movies_Page,0
0,0,6,4,0.4,List Movies_Minimum Rating,1
0,0,6,5,0.5,List Movies_Sort By,1
0,0,6,6,0.6,List Movies_With RT Ratings,0
0,0,6,7,0.7,List Movies_Limit,0
