model,tier,noise_level,precision,recall,f1
anthropic/claude-haiku-4.5,Tier 1,1,0.975,0.913,0.934
anthropic/claude-haiku-4.5,Tier 1,3,0.981,0.913,0.936
anthropic/claude-haiku-4.5,Tier 1,5,0.988,0.925,0.946
anthropic/claude-haiku-4.5,Tier 1,7,0.988,0.925,0.946
anthropic/claude-haiku-4.5,Tier 1,9,0.981,0.913,0.936
anthropic/claude-haiku-4.5,Tier 2,1,0.982,0.601,0.727
anthropic/claude-haiku-4.5,Tier 2,3,0.978,0.597,0.722
anthropic/claude-haiku-4.5,Tier 2,5,0.982,0.602,0.728
anthropic/claude-haiku-4.5,Tier 2,7,0.971,0.602,0.725
anthropic/claude-haiku-4.5,Tier 2,9,0.978,0.598,0.723
