model,tier,noise_level,precision,recall,f1
qwen/qwen-2.5-coder-32b-instruct,Tier 1,1,0.789,0.736,0.754
qwen/qwen-2.5-coder-32b-instruct,Tier 1,3,0.789,0.733,0.752
qwen/qwen-2.5-coder-32b-instruct,Tier 1,5,0.783,0.73,0.747
qwen/qwen-2.5-coder-32b-instruct,Tier 1,7,0.789,0.733,0.752
qwen/qwen-2.5-coder-32b-instruct,Tier 1,9,0.789,0.736,0.754
qwen/qwen-2.5-coder-32b-instruct,Tier 2,1,0.732,0.444,0.54
qwen/qwen-2.5-coder-32b-instruct,Tier 2,3,0.732,0.447,0.543
qwen/qwen-2.5-coder-32b-instruct,Tier 2,5,0.731,0.45,0.544
qwen/qwen-2.5-coder-32b-instruct,Tier 2,7,0.732,0.444,0.54
qwen/qwen-2.5-coder-32b-instruct,Tier 2,9,0.727,0.442,0.536
qwen/qwen2.5-coder-7b-instruct,Tier 1,1,0.581,0.547,0.558
qwen/qwen2.5-coder-7b-instruct,Tier 1,3,0.581,0.55,0.56
qwen/qwen2.5-coder-7b-instruct,Tier 1,5,0.537,0.516,0.523
qwen/qwen2.5-coder-7b-instruct,Tier 1,7,0.562,0.534,0.543
qwen/qwen2.5-coder-7b-instruct,Tier 1,9,0.568,0.543,0.552
qwen/qwen2.5-coder-7b-instruct,Tier 2,1,0.696,0.449,0.533
qwen/qwen2.5-coder-7b-instruct,Tier 2,3,0.663,0.423,0.506
qwen/qwen2.5-coder-7b-instruct,Tier 2,5,0.729,0.469,0.558
qwen/qwen2.5-coder-7b-instruct,Tier 2,7,0.656,0.423,0.502
qwen/qwen2.5-coder-7b-instruct,Tier 2,9,0.717,0.448,0.538
qwen/qwen3-235b-a22b-thinking-2507,Tier 1,1,1.0,0.926,0.95
qwen/qwen3-235b-a22b-thinking-2507,Tier 1,3,1.0,0.915,0.943
qwen/qwen3-235b-a22b-thinking-2507,Tier 1,5,0.99,0.912,0.938
qwen/qwen3-235b-a22b-thinking-2507,Tier 1,7,1.0,0.917,0.944
qwen/qwen3-235b-a22b-thinking-2507,Tier 1,9,0.986,0.913,0.938
qwen/qwen3-235b-a22b-thinking-2507,Tier 2,1,0.989,0.599,0.726
qwen/qwen3-235b-a22b-thinking-2507,Tier 2,3,0.989,0.601,0.727
qwen/qwen3-235b-a22b-thinking-2507,Tier 2,5,0.989,0.603,0.73
qwen/qwen3-235b-a22b-thinking-2507,Tier 2,7,0.989,0.61,0.735
qwen/qwen3-235b-a22b-thinking-2507,Tier 2,9,0.989,0.601,0.728
x-ai/grok-code-fast-1,Tier 1,1,0.8,0.7,0.733
x-ai/grok-code-fast-1,Tier 1,3,1.0,0.917,0.944
x-ai/grok-code-fast-1,Tier 1,5,1.0,1.0,1.0
x-ai/grok-code-fast-1,Tier 1,7,1.0,1.0,1.0
x-ai/grok-code-fast-1,Tier 1,9,1.0,0.938,0.958
x-ai/grok-code-fast-1,Tier 2,1,1.0,0.637,0.763
x-ai/grok-code-fast-1,Tier 2,3,1.0,0.644,0.766
x-ai/grok-code-fast-1,Tier 2,5,1.0,0.615,0.745
x-ai/grok-code-fast-1,Tier 2,7,1.0,0.623,0.754
x-ai/grok-code-fast-1,Tier 2,9,0.929,0.554,0.676
