model,tier,noise_level,precision,recall,f1
qwen/qwen-2.5-coder-32b-instruct,Tier 1,1,0.789,0.733,0.752
qwen/qwen-2.5-coder-32b-instruct,Tier 1,3,0.789,0.736,0.754
qwen/qwen-2.5-coder-32b-instruct,Tier 1,5,0.789,0.733,0.752
qwen/qwen-2.5-coder-32b-instruct,Tier 1,7,0.789,0.733,0.752
qwen/qwen-2.5-coder-32b-instruct,Tier 1,9,0.789,0.736,0.754
qwen/qwen-2.5-coder-32b-instruct,Tier 2,1,0.736,0.453,0.547
qwen/qwen-2.5-coder-32b-instruct,Tier 2,3,0.732,0.449,0.543
qwen/qwen-2.5-coder-32b-instruct,Tier 2,5,0.728,0.443,0.538
qwen/qwen-2.5-coder-32b-instruct,Tier 2,7,0.732,0.445,0.541
qwen/qwen-2.5-coder-32b-instruct,Tier 2,9,0.736,0.45,0.544
qwen/qwen2.5-coder-7b-instruct,Tier 1,1,0.627,0.593,0.605
qwen/qwen2.5-coder-7b-instruct,Tier 1,3,0.599,0.565,0.577
qwen/qwen2.5-coder-7b-instruct,Tier 1,5,0.543,0.522,0.529
qwen/qwen2.5-coder-7b-instruct,Tier 1,7,0.568,0.534,0.546
qwen/qwen2.5-coder-7b-instruct,Tier 1,9,0.562,0.547,0.552
qwen/qwen2.5-coder-7b-instruct,Tier 2,1,0.652,0.415,0.496
qwen/qwen2.5-coder-7b-instruct,Tier 2,3,0.667,0.431,0.513
qwen/qwen2.5-coder-7b-instruct,Tier 2,5,0.672,0.43,0.512
qwen/qwen2.5-coder-7b-instruct,Tier 2,7,0.696,0.443,0.529
qwen/qwen2.5-coder-7b-instruct,Tier 2,9,0.709,0.452,0.541
qwen/qwen3-235b-a22b-thinking-2507,Tier 1,1,1.0,0.913,0.942
qwen/qwen3-235b-a22b-thinking-2507,Tier 1,3,1.0,0.934,0.956
qwen/qwen3-235b-a22b-thinking-2507,Tier 1,5,0.99,0.907,0.935
qwen/qwen3-235b-a22b-thinking-2507,Tier 1,7,1.0,0.912,0.941
qwen/qwen3-235b-a22b-thinking-2507,Tier 1,9,1.0,0.917,0.944
qwen/qwen3-235b-a22b-thinking-2507,Tier 2,1,0.989,0.61,0.735
qwen/qwen3-235b-a22b-thinking-2507,Tier 2,3,0.987,0.601,0.727
qwen/qwen3-235b-a22b-thinking-2507,Tier 2,5,0.989,0.606,0.731
qwen/qwen3-235b-a22b-thinking-2507,Tier 2,7,0.989,0.609,0.733
qwen/qwen3-235b-a22b-thinking-2507,Tier 2,9,0.989,0.599,0.727
x-ai/grok-code-fast-1,Tier 1,1,1.0,0.889,0.926
x-ai/grok-code-fast-1,Tier 1,3,1.0,1.0,1.0
x-ai/grok-code-fast-1,Tier 1,5,1.0,0.929,0.952
x-ai/grok-code-fast-1,Tier 1,7,1.0,0.875,0.917
x-ai/grok-code-fast-1,Tier 1,9,1.0,1.0,1.0
x-ai/grok-code-fast-1,Tier 2,1,1.0,0.548,0.686
x-ai/grok-code-fast-1,Tier 2,3,1.0,0.637,0.773
x-ai/grok-code-fast-1,Tier 2,5,1.0,0.525,0.669
x-ai/grok-code-fast-1,Tier 2,7,1.0,0.611,0.736
x-ai/grok-code-fast-1,Tier 2,9,1.0,0.6,0.733
