model,tier,noise_level,precision,recall,f1
qwen/qwen2.5-coder-7b-instruct,Tier 1,1,0.565,0.5,0.522
qwen/qwen2.5-coder-7b-instruct,Tier 1,3,0.58,0.507,0.531
qwen/qwen2.5-coder-7b-instruct,Tier 1,5,0.565,0.464,0.498
qwen/qwen2.5-coder-7b-instruct,Tier 1,7,0.638,0.514,0.556
qwen/qwen2.5-coder-7b-instruct,Tier 1,9,0.551,0.478,0.502
qwen/qwen2.5-coder-7b-instruct,Tier 2,1,0.445,0.22,0.282
qwen/qwen2.5-coder-7b-instruct,Tier 2,3,0.453,0.232,0.295
qwen/qwen2.5-coder-7b-instruct,Tier 2,5,0.446,0.232,0.294
qwen/qwen2.5-coder-7b-instruct,Tier 2,7,0.444,0.237,0.296
qwen/qwen2.5-coder-7b-instruct,Tier 2,9,0.439,0.241,0.3
