model,tier,noise_level,precision,recall,f1
qwen/qwen2.5-coder-7b-instruct,Tier 1,1,0.594,0.5,0.531
qwen/qwen2.5-coder-7b-instruct,Tier 1,3,0.507,0.449,0.469
qwen/qwen2.5-coder-7b-instruct,Tier 1,5,0.652,0.565,0.594
qwen/qwen2.5-coder-7b-instruct,Tier 1,7,0.609,0.507,0.541
qwen/qwen2.5-coder-7b-instruct,Tier 1,9,0.652,0.522,0.565
qwen/qwen2.5-coder-7b-instruct,Tier 2,1,0.457,0.236,0.299
qwen/qwen2.5-coder-7b-instruct,Tier 2,3,0.422,0.219,0.275
qwen/qwen2.5-coder-7b-instruct,Tier 2,5,0.432,0.226,0.285
qwen/qwen2.5-coder-7b-instruct,Tier 2,7,0.445,0.222,0.284
qwen/qwen2.5-coder-7b-instruct,Tier 2,9,0.461,0.237,0.301
