model,tier,number_of_queries,avg_tools_in_tier,precision,recall,f1
anthropic/claude-haiku-4.5,Tier 1,69,2.0,1.0,0.841,0.894
anthropic/claude-haiku-4.5,Tier 2,504,4.167,1.0,0.484,0.619
anthropic/claude-haiku-4.5,Tier 3,966,7.118,0.998,0.338,0.485
anthropic/claude-haiku-4.5,Tier 4+,30,11.1,1.0,0.204,0.336
openai/gpt-5-mini,Tier 1,69,2.0,1.0,0.862,0.908
openai/gpt-5-mini,Tier 2,504,4.167,1.0,0.441,0.578
openai/gpt-5-mini,Tier 3,966,7.118,0.986,0.32,0.464
openai/gpt-5-mini,Tier 4+,30,11.1,1.0,0.162,0.277
qwen/qwen-2.5-coder-32b-instruct,Tier 1,69,2.0,1.0,0.855,0.903
qwen/qwen-2.5-coder-32b-instruct,Tier 2,504,4.167,1.0,0.476,0.613
qwen/qwen-2.5-coder-32b-instruct,Tier 3,966,7.118,1.0,0.31,0.46
qwen/qwen-2.5-coder-32b-instruct,Tier 4+,30,11.1,1.0,0.189,0.316
qwen/qwen2.5-coder-7b-instruct,Tier 1,69,2.0,0.884,0.739,0.787
qwen/qwen2.5-coder-7b-instruct,Tier 2,504,4.167,0.799,0.405,0.513
qwen/qwen2.5-coder-7b-instruct,Tier 3,966,7.118,0.686,0.257,0.357
qwen/qwen2.5-coder-7b-instruct,Tier 4+,30,11.1,0.433,0.106,0.155
qwen/qwen3-235b-a22b-thinking-2507,Tier 1,69,2.0,1.0,0.877,0.918
qwen/qwen3-235b-a22b-thinking-2507,Tier 2,504,4.167,1.0,0.466,0.606
qwen/qwen3-235b-a22b-thinking-2507,Tier 3,966,7.118,1.0,0.325,0.469
qwen/qwen3-235b-a22b-thinking-2507,Tier 4+,30,11.1,1.0,0.162,0.276
x-ai/grok-code-fast-1,Tier 1,69,2.0,1.0,0.819,0.879
x-ai/grok-code-fast-1,Tier 2,504,4.167,1.0,0.439,0.577
x-ai/grok-code-fast-1,Tier 3,966,7.118,0.987,0.317,0.462
x-ai/grok-code-fast-1,Tier 4+,30,11.1,1.0,0.167,0.282
