model,tier,number_of_queries,avg_tools_in_tier,precision,recall,f1
anthropic/claude-haiku-4.5,Tier 1,4209,1.327,0.846,0.826,0.832
anthropic/claude-haiku-4.5,Tier 2,997,3.247,0.959,0.815,0.862
anthropic/claude-haiku-4.5,Tier 3,20,6.25,1.0,0.896,0.935
openai/gpt-5-mini,Tier 1,4209,1.327,0.843,0.821,0.828
openai/gpt-5-mini,Tier 2,997,3.247,0.946,0.794,0.842
openai/gpt-5-mini,Tier 3,20,6.25,1.0,0.912,0.946
qwen/qwen-2.5-coder-32b-instruct,Tier 1,4209,1.327,0.787,0.767,0.774
qwen/qwen-2.5-coder-32b-instruct,Tier 2,997,3.247,0.83,0.652,0.709
qwen/qwen-2.5-coder-32b-instruct,Tier 3,20,6.25,0.9,0.771,0.817
qwen/qwen2.5-coder-7b-instruct,Tier 1,4209,1.327,0.615,0.611,0.61
qwen/qwen2.5-coder-7b-instruct,Tier 2,997,3.247,0.84,0.746,0.78
qwen/qwen2.5-coder-7b-instruct,Tier 3,20,6.25,0.75,0.643,0.682
qwen/qwen3-235b-a22b-thinking-2507,Tier 1,4209,1.327,0.843,0.823,0.829
qwen/qwen3-235b-a22b-thinking-2507,Tier 2,997,3.247,0.967,0.8,0.853
qwen/qwen3-235b-a22b-thinking-2507,Tier 3,20,6.25,1.0,0.904,0.942
x-ai/grok-code-fast-1,Tier 1,4209,1.327,0.821,0.798,0.805
x-ai/grok-code-fast-1,Tier 2,997,3.247,0.933,0.771,0.822
x-ai/grok-code-fast-1,Tier 3,20,6.25,1.0,0.919,0.951
