model,tier,number_of_queries,avg_tools_in_tier,precision,recall,f1
anthropic_claude-haiku-4.5,Tier 1,774,1.669,1.0,0.935,0.957
anthropic_claude-haiku-4.5,Tier 2,224,3.277,1.0,0.845,0.901
anthropic_claude-haiku-4.5,Tier 3,2,6.5,1.0,0.845,0.916
openai_gpt-5-mini,Tier 1,774,1.669,1.0,0.928,0.952
openai_gpt-5-mini,Tier 2,224,3.277,1.0,0.818,0.883
openai_gpt-5-mini,Tier 3,2,6.5,1.0,0.929,0.962
qwen_qwen-2.5-coder-32b-instruct,Tier 1,774,1.669,1.0,0.943,0.962
qwen_qwen-2.5-coder-32b-instruct,Tier 2,224,3.277,1.0,0.794,0.869
qwen_qwen-2.5-coder-32b-instruct,Tier 3,2,6.5,1.0,0.857,0.917
qwen_qwen2.5-coder-7b-instruct,Tier 1,774,1.669,0.517,0.514,0.515
qwen_qwen2.5-coder-7b-instruct,Tier 2,224,3.277,0.768,0.692,0.721
qwen_qwen2.5-coder-7b-instruct,Tier 3,2,6.5,1.0,0.929,0.962
qwen_qwen3-235b-a22b-thinking-2507,Tier 1,774,1.669,1.0,0.943,0.962
qwen_qwen3-235b-a22b-thinking-2507,Tier 2,224,3.277,1.0,0.834,0.894
qwen_qwen3-235b-a22b-thinking-2507,Tier 3,2,6.5,1.0,0.845,0.916
x-ai_grok-code-fast-1,Tier 1,774,1.669,0.999,0.926,0.95
x-ai_grok-code-fast-1,Tier 2,224,3.277,1.0,0.825,0.886
x-ai_grok-code-fast-1,Tier 3,2,6.5,1.0,0.845,0.916
